Series,Ticker,CAGR,Ann.Vol,Sharpe,Sortino,Calmar,MaxDrawdown,HitRate,VaR95,CVaR95,Skew,Kurtosis,LongestDD_days,HAC_t,HAC_p
SPY (S&P 500 ETF),SPY,0.13207012888124314,0.17135508682794198,0.6934080214225906,0.9683545510550058,0.391698731824812,-0.3371727252369858,0.5502530730296457,0.01633548712754101,0.026294844568264076,-0.5593303877146452,13.055817712409365,488,3.0588934357531867,0.002221561579909623
S&P 500 Index,^GSPC,0.11255694552884177,0.17338163702863563,0.5870034326406207,0.8186280804281549,0.3317821023813693,-0.33924960002653304,0.5404916847433117,0.016388442782218314,0.026523081706771597,-0.5322695329060861,14.923074704095612,512,2.684928272667677,0.007254537314380096
VanEck Semiconductor ETF (SMH),SMH,0.2648284626133701,0.29617893807633205,0.8744726900773743,1.2633915483642082,0.5845764084294228,-0.4530262576365044,0.5433839479392625,0.029114886104990648,0.043067319913343186,-0.1962060074831845,4.040934568180115,386,3.6240131312978083,0.00029006686830011064
iShares Semiconductor ETF (SOXX),SOXX,0.23671957681328948,0.30152913333135384,0.7897280189888132,1.1351199211681233,0.5173775900319488,-0.45753736028394987,0.544468546637744,0.02978998449690706,0.04394005915272685,-0.20865641254049186,4.31630592232728,493,3.349527202816444,0.000809496064255465
Global X AI and Technology ETF (AIQ),AIQ,0.1592378565453736,0.2515996298340553,0.6340733925707742,0.892295585066309,0.3565908590924003,-0.44655619314154005,0.5480192076830732,0.026857604715562478,0.03668926190396691,-0.2832896823660721,3.0407290292413514,569,1.9848662085437028,0.04715935883888419
Global X Robotics and AI ETF (BOTZ),BOTZ,0.10336418115995416,0.2537991447136331,0.43612573940626453,0.6120865397821456,0.18611803175657893,-0.5553689784079743,0.5261140392908481,0.025242025609571467,0.03699402507609614,-0.2664157973745259,6.8652834104758735,789,1.460221256266266,0.1442292752120341
NVIDIA (NVDA),NVDA,0.7128826084760638,0.46966190789850765,1.3367450433783856,2.0919543068118283,1.0746688848199393,-0.6633509339907121,0.5426608821402747,0.04295638549007676,0.06312636069371727,0.6489969632078486,8.849755857700309,373,4.770736736345457,1.8355331472094538e-06
AMD,AMD,0.36731696038468464,0.5726306954514289,0.7921658006207236,1.2355881648887863,0.561218152072106,-0.654499429550688,0.5007230657989877,0.0519794452429679,0.07621583344845556,1.216622944890693,18.598509370438105,535,2.883524173499051,0.00393252462919955
Broadcom (AVGO),AVGO,0.4512959350004746,0.36957271836344574,1.138303293197764,1.7527256786254977,0.9343607013059947,-0.48299969633748463,0.5343456254519161,0.032713380345549374,0.04878005771540548,0.408393495332187,10.678643143255583,348,4.547480362546529,5.4291984336268156e-06
TSMC (TSM),TSM,0.28583539368010547,0.31221992698247625,0.8970071234958437,1.3662591577989027,0.5062028893258991,-0.564665670045359,0.5187997107736804,0.029339917401693588,0.04160243879138708,0.3092585911837344,4.095377997441432,533,3.4345044712893205,0.0005936382783194901
Micron (MU),MU,0.13522872906631367,0.4593690049189863,0.46269181397935416,0.6721834825221976,0.18323418857876986,-0.7380103577569024,0.5126536514822849,0.044361980204572646,0.06296696921770681,-0.018831384132206353,3.3708247042186237,706,1.8512307592301456,0.06413636241316607
Microsoft (MSFT),MSFT,0.2691116124555044,0.26502771163882854,0.9565808602887746,1.4167472847540796,0.724421593333941,-0.37148480240214266,0.5328994938539408,0.025920350991428472,0.037883671365138455,0.0756088861190755,7.88789959339692,392,4.4294090668181285,9.449164393033907e-06
Alphabet (GOOGL),GOOGL,0.19225283542316718,0.27895734712265624,0.6980144679662632,1.022798503256716,0.433783107327154,-0.4432003740481586,0.53470715835141,0.026463381458524345,0.039984162905693094,0.2299811585664404,6.674244243398725,546,3.004794077456099,0.0026576070893632934
Amazon (AMZN),AMZN,0.2454085835210318,0.3274312817189105,0.7727351160953697,1.1447852328960066,0.43709579277230237,-0.5614526325328261,0.5336225596529284,0.030667485945547072,0.046865197404616504,0.22864869353557807,6.292125301966593,693,2.995378221242458,0.0027410472827504814
Meta (META),META,0.24258800699287275,0.37330444554050896,0.7168845495207725,1.0393932423993935,0.31613285583863365,-0.7673609449714995,0.527114967462039,0.03333515842230363,0.05254145078644912,-0.24953762670250507,20.645485387283102,594,2.890821311120371,0.00384236523553997
Apple (AAPL),AAPL,0.2769410274614694,0.2791008706600286,0.9442130987207838,1.3891091306265095,0.7190298613333281,-0.38515928524571386,0.5332610267534346,0.0264616425377073,0.04002663005872638,-0.011628347111975754,5.555259373419387,426,3.5243450771136895,0.0004245309848326902
Oracle (ORCL),ORCL,0.16236570405064232,0.269419768629291,0.6180532385838936,0.9238018253384508,0.4022455903336118,-0.4036481889483997,0.5310918293564715,0.02294006686902597,0.03816539283856937,0.8496546369030752,19.47952789375236,558,2.662918291408282,0.007746622203182435
Palantir (PLTR),PLTR,0.6393340790348092,0.7168822531537578,1.0100395959083999,1.6944815506740754,0.7555766388593197,-0.8461538461538465,0.49250936329588013,0.0627910307179896,0.08385981504249679,1.1315067550100244,6.213223641163351,926,1.96564926597967,0.04933913903609658
Tesla (TSLA),TSLA,0.40480841258896105,0.5640877537158009,0.8481035732416087,1.2874888744331634,0.5497707751457802,-0.7363221744219122,0.5169920462762111,0.0509207865000055,0.07777215937541518,0.30277453563603046,4.452336437509764,778,2.7221638066219107,0.006485598593938017
GameStop (GME),GME,0.12320731527577644,1.1233563781572664,0.5721580139725659,1.1036860773058563,0.1336222186601707,-0.9220570988206568,0.4938539407086045,0.0634925635732543,0.11841913020281744,5.7888164591274585,92.15945145880919,1363,1.724048489130798,0.0846990899701634
AMC Entertainment (AMC),AMC,-0.279554544717426,1.3326058865122263,0.19201144307727333,0.4206415837547401,-0.2806628376302583,-0.996051159027002,0.47071583514099785,0.07468793784691508,0.12755960329315344,17.675215888101256,608.947494590175,1112,0.6298816141580527,0.5287720429455187
Coinbase (COIN),COIN,-0.06533056554725925,0.8941865859786567,0.3437850244716838,0.526417202282034,-0.07187247010210969,-0.9089789936876204,0.4689507494646681,0.08079733512543924,0.11010723978964745,0.4586540259140453,2.4142332183545756,788,0.6689543068965569,0.5035246260942778
Strategy / MicroStrategy (MSTR),MSTR,0.338450986643428,0.6680572504716917,0.7384698678579211,1.149341217251091,0.37914635958890214,-0.8926657953683137,0.5079537237888648,0.054654114890529244,0.09249081955226256,0.5059067191989339,8.647865592900773,1326,2.351706613707236,0.01868750796601311
Ford (F),F,0.009356376966167534,0.3478828590575551,0.14329615235084248,0.20445082355960895,0.01360186118020046,-0.6878747578888056,0.49349240780911063,0.031934368015250285,0.05123892256040039,0.12914571372312242,10.155254261631057,1667,0.6392946017355986,0.5226312995949369
Disney (DIS),DIS,0.043632343053088496,0.2707804486978915,0.21895554102960965,0.31903527465214543,0.07186398716449037,-0.6071517149920709,0.5079537237888648,0.024543829212285644,0.03881478333204088,0.31808220347134925,11.611868616104799,960,0.9837129271135837,0.3252566819391638
iShares Russell 2000 ETF (IWM),IWM,0.0761303299820344,0.21998948066361415,0.35326237607015226,0.49260953501924454,0.18508202125406809,-0.4113329294017587,0.5303687635574837,0.020597422807291123,0.03186022624346153,-0.5664141234494833,8.037198708220968,752,1.5225623087133136,0.1278682455900362
SPDR Gold Shares (GLD),GLD,0.06707381005660062,0.14189011167556687,0.3875827031476039,0.557442138150075,0.2738503943702286,-0.2449286597189304,0.5206073752711496,0.014309159595134346,0.02034288788848009,-0.06328667183120544,2.680976491111264,1327,1.840406965168811,0.06570851165278346
iShares Silver Trust (SLV),SLV,0.029398210690812165,0.26306245618113977,0.16588618449669526,0.23739246547184736,0.06245276777596108,-0.47072710686375596,0.5003615328994938,0.025311765442108322,0.03785323627437584,-0.11020660403719389,5.801591083154708,1613,0.8111616404912232,0.4172728512016618
